province,province_id,year,y_clean,ln_y_clean,cum_tfp,ln_cum_tfp,urban_rate,pop_density,ln_pop_density,primary_share,machinery,fertilizer,plastic_film,diesel,pesticide,output_nominal
上海,1,2016,0.601548983118499,-0.5082473119395755,1.0,0.0,0.890149979732469,3915.87301587302,8.272793576125917,0.39,122.3,9.2,1.7062,13.7,0.3913,285.1
上海,1,2017,0.6116455387093699,-0.49160234937771036,1.056548273941615,0.05500724935535083,0.890916463909165,3914.28571428571,8.272388143320848,0.36,121.8,8.9,1.5664,14.5,0.3523,292.6
上海,1,2018,0.614730675576413,-0.4865710329851782,1.2317681035320445,0.20845061974171888,0.891313131313131,3928.57142857143,8.27603113459935,0.32,94.0,8.4,1.4781,13.1,0.3177,289.6
上海,1,2019,0.6541609543429272,-0.42440185024644284,1.2905152135841398,0.2550415290137765,0.892382103990326,3938.09523809524,8.27845244328836,0.3,98.0,7.5,1.3213,13.0,0.2771,284.8
上海,1,2020,0.659433427722213,-0.41637425547986173,1.2866114568106557,0.25201198467348684,0.893007853003352,3949.55555555556,8.281358333983718,0.27,102.1,6.9,1.2864,14.6,0.2644,279.8
云南,2,2016,0.22433573669563361,-1.4946115247094134,1.0,0.0,0.446397263202908,122.05114822547,4.804440204623229,13.6,3440.6,235.6,11.5926,84.8,5.8601,3633.1
云南,2,2017,0.2585736243078747,-1.3525748120152234,1.0533276591895504,0.05195435207083841,0.46290219475815,122.468684759916,4.807855362691754,12.65,3534.5,231.9,12.015,85.9,5.7675,3872.9
云南,2,2018,0.29250334107274495,-1.229279189904539,1.6383875308160376,0.49371254524817637,0.474399319583245,122.729645093946,4.8099839288423905,11.97,2693.5,217.4,11.9685,25.4,5.2591,4108.9
云南,2,2019,0.31821291314270705,-1.1450345820580403,1.9357731935480762,0.660506829898607,0.486699193890539,123.016701461378,4.8123201303934175,13.08,2714.4,204.0,12.2139,26.2,4.7441,4935.7
云南,2,2020,0.346300538507993,-1.0604482725417819,2.1732364869752687,0.7762175250698733,0.500370588409689,123.23121085595,4.814062353885284,14.7,2786.7,196.7,12.1558,30.4,4.4846,5920.5
内蒙古,3,2016,0.2998313502782708,-1.2045351281394379,1.0,0.0,0.634072249589491,20.5917159763314,3.0248888578454483,12.0,3331.1,234.6,9.5631,81.0,3.2339,2794.2
内蒙古,3,2017,0.34369646199870024,-1.0679963890440378,0.9548969407068664,-0.04615185981489455,0.646115906288533,20.5663567202029,3.023656571799183,11.07,3483.6,235.0,9.4306,73.6,3.5618,2813.5
内蒙古,3,2018,0.34925925966439864,-1.0519407681989668,1.0236520385990486,0.023376662814539494,0.655161023947151,20.4733727810651,3.019125153128697,10.85,3663.7,222.7,9.3969,79.2,2.9585,2985.3
