变量,年份,区域,省份数,区域均值,区域内基尼,人口份额p_j,指标份额s_j,区域内贡献
Y：高质量发展指数,2016,东部,11,0.5017023953849934,0.15758202809350688,0.3548387096774194,0.4876748121242972,0.02726892404488173
Y：高质量发展指数,2016,中部,8,0.3160229294154744,0.10398840110650848,0.25806451612903225,0.22340868233269365,0.0059953320436357885
Y：高质量发展指数,2016,西部,12,0.27245804858564465,0.1634106650027143,0.3870967741935484,0.288916505543009,0.01827562772943619
Y：高质量发展指数,2017,东部,11,0.523067817962469,0.1428945982981877,0.3548387096774194,0.4711613554926216,0.023890017383684698
Y：高质量发展指数,2017,中部,8,0.3435197929752616,0.10591809898298463,0.25806451612903225,0.22504052332465474,0.006151190819273146
Y：高质量发展指数,2017,西部,12,0.30916111212085057,0.1406347175133076,0.3870967741935484,0.30379812118272376,0.016538540498170044
Y：高质量发展指数,2018,东部,11,0.5321596096248805,0.13767437056613072,0.3548387096774194,0.4565965913342704,0.022305746176143594
Y：高质量发展指数,2018,中部,8,0.37235621890290826,0.08656374250577645,0.25806451612903225,0.23235213610652034,0.00519052141434631
Y：高质量发展指数,2018,西部,12,0.33231708181065095,0.1378076858724362,0.3870967741935484,0.3110512725592091,0.016593002345442975
Y：高质量发展指数,2019,东部,11,0.5411108277765874,0.1456172085537735,0.3548387096774194,0.4362617616224426,0.022541916748010656
Y：高质量发展指数,2019,中部,8,0.4015432462804257,0.08492352826925557,0.25806451612903225,0.2354455854311873,0.0051599664078030615
Y：高质量发展指数,2019,西部,12,0.37326019471457644,0.11432460256155792,0.3870967741935484,0.3282926529463701,0.014528487898828346
Y：高质量发展指数,2020,东部,11,0.5647004383999346,0.12735354937761798,0.3548387096774194,0.43389643332628075,0.019607766429364484
Y：高质量发展指数,2020,中部,8,0.43245531401255455,0.08230769843359695,0.25806451612903225,0.2416609593506958,0.005133047062041496
Y：高质量发展指数,2020,西部,12,0.38706274003577074,0.09083060051026366,0.3870967741935484,0.3244426073230233,0.011407477491973886
X：累计农业TFP,2016,东部,11,1.0,0.0,0.3548387096774194,0.3548387096774194,0.0
X：累计农业TFP,2016,中部,8,1.0,0.0,0.25806451612903225,0.25806451612903225,0.0
X：累计农业TFP,2016,西部,12,1.0,0.0,0.3870967741935484,0.3870967741935484,0.0
X：累计农业TFP,2017,东部,11,0.9853315748383455,0.023063415168059653,0.3548387096774194,0.34924036190180335,0.0028581106470913433
X：累计农业TFP,2017,中部,8,0.9673597214036864,0.05713649527577247,0.25806451612903225,0.24936031157203659,0.0036767933584776306
X：累计农业TFP,2017,西部,12,1.0381163926529662,0.030900097498767126,0.3870967741935484,0.40139932652616,0.0048012690292636665
X：累计农业TFP,2018,东部,11,1.084144234094489,0.0388889932712604,0.3548387096774194,0.3470279131153347,0.004788749288996764
X：累计农业TFP,2018,中部,8,1.0134530852162364,0.04850114936122221,0.25806451612903225,0.23592735300014486,0.0029529671706471803
X：累计农业TFP,2018,西部,12,1.1943090866850923,0.07593672731127929,0.3870967741935484,0.4170447338845204,0.012258972477520204
X：累计农业TFP,2019,东部,11,1.1851131873350107,0.03991163043734224,0.3548387096774194,0.3377951975547066,0.004783920257143133
X：累计农业TFP,2019,中部,8,1.1478487736279308,0.04268672134177403,0.25806451612903225,0.23794447032599558,0.0026211791740959464
X：累计农业TFP,2019,西部,12,1.3644267540095079,0.10081625207359914,0.3870967741935484,0.4242603321192979,0.016557033517845685
X：累计农业TFP,2020,东部,11,1.272015492962521,0.05508674631347871,0.3548387096774194,0.3255498012076939,0.006363492658930588
X：累计农业TFP,2020,中部,8,1.3110892412160255,0.0340940728806483,0.25806451612903225,0.24403638832437025,0.0021471469442738756
X：累计农业TFP,2020,西部,12,1.5416032012002763,0.10362011846473687,0.3870967741935484,0.4304138104679359,0.017264334204985674
