变量,年份,样本数,总体均值,总基尼系数,区域内差异,区域间净差异,超变密度,区域内贡献率,区域间净差异贡献率,超变密度贡献率,分解加总,加总误差,区域均值排序
Y：高质量发展指数,2016,31,0.3650453666963374,0.2150838033792407,0.05153988381795371,0.14475778450004734,0.018786135061239675,0.2396269872867991,0.6730296852934439,0.08734332741975707,0.2150838033792407,0.0,东部>中部>西部
Y：高质量发展指数,2017,31,0.39393024796256315,0.19243698500412923,0.04657974870112789,0.12503559131307537,0.020821644989925968,0.24205195638524685,0.6497482347813359,0.10819980883341726,0.19243698500412923,0.0,东部>中部>西部
Y：高质量发展指数,2018,31,0.4135616270588634,0.17421394006416147,0.04408926993593288,0.11142934787635339,0.018695322251875212,0.253075442296381,0.639612121942222,0.1073124357613971,0.17421394006416147,0.0,东部>中部>西部
Y：高质量发展指数,2019,31,0.44011894878583174,0.15157176648432458,0.042230371054642064,0.08784259393222603,0.021498801497456515,0.27861634151377057,0.5795445680268603,0.14183909045936932,0.1515717664843246,2.7755575615628914e-17,东部>中部>西部
Y：高质量发展指数,2020,31,0.4618096843525473,0.14137044103981194,0.03614829098337986,0.0888767769915764,0.016345373064855673,0.25569907483842386,0.6286800574283234,0.11562086773325253,0.14137044103981194,0.0,东部>中部>西部
X：累计农业TFP,2016,31,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,东部>中部>西部
X：累计农业TFP,2017,31,1.0011265098802222,0.03966779342432279,0.01133617303483264,0.01594640613654788,0.01238521425294227,0.28577775712328196,0.40199881969663953,0.3122234231800785,0.03966779342432279,0.0,西部>东部>中部
X：累计农业TFP,2018,31,1.1085458160319477,0.06747220429094991,0.020000688937164147,0.03578739265616826,0.0116841226976175,0.2964285685838613,0.5304020082380567,0.17316942317808193,0.06747220429094991,0.0,西部>东部>中部
X：累计农业TFP,2019,31,1.2449082676716985,0.0777354625269724,0.023962132949084766,0.03990460330806242,0.013868726269825216,0.3082522721308883,0.5133384688386777,0.178409259030434,0.0777354625269724,0.0,西部>东部>中部
X：累计农业TFP,2020,31,1.3864555731199757,0.08456354810979756,0.02577497380819014,0.045897741497178506,0.012890832804428903,0.3048000513734811,0.5427603562422043,0.15243959238431443,0.08456354810979755,-1.3877787807814457e-17,西部>中部>东部
