权重层级,所属一级指标,指标,权重
二级指标,经济运行质效,PCGDP,0.22763390948131323
二级指标,经济运行质效,PCRS,0.30804557851697784
二级指标,经济运行质效,TIG,0.2514765300774697
二级指标,经济运行质效,HBTP,0.21284398192423937
二级指标,政府治理质效,FSR,0.6793055269574098
二级指标,政府治理质效,GCR,0.32069447304259024
二级指标,城乡区域均衡,URBAN_REPLACEMENT,0.24435765299972428
二级指标,城乡区域均衡,RUUR,0.29336657161287377
二级指标,城乡区域均衡,PCURA,0.24932218498058667
二级指标,城乡区域均衡,PTVP,0.21295359040681525
二级指标,生态绿色可持续,SDEI,0.3086358279604591
二级指标,生态绿色可持续,EPES,0.6913641720395409
二级指标,居民民生福祉,HESP,0.8521447178209212
二级指标,居民民生福祉,UGPR,0.10591814684466529
二级指标,居民民生福祉,UWPR,0.04193713533441347
一级指标,全部,经济运行质效,0.27161446362945496
一级指标,全部,政府治理质效,0.16336734018407303
一级指标,全部,城乡区域均衡,0.23140062477499934
一级指标,全部,生态绿色可持续,0.13959756445732652
一级指标,全部,居民民生福祉,0.19402000695414628
