变量,系数,标准误,z值,p值,观测值,省份数,年份数,对数似然,AIC
ln_cum_tfp,0.35518486490169265,0.08707711354763371,4.078969208222505,4.523582730438489e-05,155,31,5,-189.80045405070905,401.6009081014181
ln_pop_density,-0.7622261904958214,0.6344663712462064,-1.2013657855477378,0.22960934203046213,155,31,5,-189.80045405070905,401.6009081014181
primary_share,0.003957097237752207,0.01413004536242883,0.2800484454405189,0.7794403371888871,155,31,5,-189.80045405070905,401.6009081014181
W_ln_cum_tfp,0.16605577963824764,0.1834683247821761,0.905092363138969,0.36541645760205443,155,31,5,-189.80045405070905,401.6009081014181
W_ln_pop_density,1.821998446688642,1.0526992925438843,1.7307871864202737,0.0834897281080555,155,31,5,-189.80045405070905,401.6009081014181
W_primary_share,0.031165036940510298,0.026423305937664603,1.1794526019579814,0.23821799979318004,155,31,5,-189.80045405070905,401.6009081014181
year_2017,0.09148484020565541,0.02601411729774908,3.5167382063573345,0.0004368844494304266,155,31,5,-189.80045405070905,401.6009081014181
year_2018,0.09321500650261565,0.040231133797752415,2.3169868135265745,0.0205044500948523,155,31,5,-189.80045405070905,401.6009081014181
year_2019,0.08366934928887984,0.051355886460050716,1.6292066023232892,0.10326928976778194,155,31,5,-189.80045405070905,401.6009081014181
year_2020,0.04397141718281644,0.05529550092535276,0.795207864057087,0.42649259803463546,155,31,5,-189.80045405070905,401.6009081014181
rho,0.2157399757024769,0.10229304432441641,2.109038567845045,0.034941252718073225,155,31,5,-189.80045405070905,401.6009081014181
