变量,年份,Moran_I,期望值,置换p值,置换z值,置换次数,备注
高质量发展指数,2016,0.4019253711720914,-0.03333333333333333,0.001,3.958887989860029,999,
高质量发展指数,2017,0.37772088438035994,-0.03333333333333333,0.001,3.7106657806165013,999,
高质量发展指数,2018,0.3651243699355698,-0.03333333333333333,0.003,3.460826404850552,999,
高质量发展指数,2019,0.23556828594021742,-0.03333333333333333,0.019,2.345966267900268,999,
高质量发展指数,2020,0.35643955283923595,-0.03333333333333333,0.004,3.4359735779822684,999,
累计农业TFP,2016,,-0.03333333333333333,,,999,共同基期，变量无截面差异
累计农业TFP,2017,0.06943062428939592,-0.03333333333333333,0.189,0.9002604388117629,999,
累计农业TFP,2018,0.20073093418813598,-0.03333333333333333,0.03,2.1554657247345608,999,
累计农业TFP,2019,0.24945870235256717,-0.03333333333333333,0.02,2.439841656397732,999,
累计农业TFP,2020,0.16849710104743432,-0.03333333333333333,0.041,1.9312250367429469,999,
