变量,年份,省份,Local_Moran_I,置换p值,象限,显著聚类类型
高质量发展指数,2016,北京,1.2778418380761827,0.228,HH,不显著
高质量发展指数,2016,天津,1.8016202292645995,0.084,HH,不显著
高质量发展指数,2016,河北,-0.39034471837429147,0.074,LH,不显著
高质量发展指数,2016,山西,0.24475750074506145,0.213,LL,不显著
高质量发展指数,2016,内蒙古,0.2133162599352952,0.049,LL,LL
高质量发展指数,2016,辽宁,-0.09066538612681319,0.163,HL,不显著
高质量发展指数,2016,吉林,0.17709406823248658,0.265,LL,不显著
高质量发展指数,2016,黑龙江,0.38422208460350504,0.249,LL,不显著
高质量发展指数,2016,上海,2.1326410483625398,0.046,HH,HH
高质量发展指数,2016,江苏,1.3506676189598084,0.049,HH,HH
高质量发展指数,2016,浙江,0.6403855257886718,0.092,HH,不显著
高质量发展指数,2016,安徽,0.003558064509061873,0.107,HH,不显著
高质量发展指数,2016,福建,0.0816485630083546,0.206,HH,不显著
高质量发展指数,2016,江西,-0.1577137458979481,0.191,LH,不显著
高质量发展指数,2016,山东,0.0690689940214993,0.407,HH,不显著
高质量发展指数,2016,河南,-0.013168039171300576,0.492,LH,不显著
高质量发展指数,2016,湖北,-0.08873008551011723,0.385,HL,不显著
高质量发展指数,2016,湖南,0.013740949056201346,0.447,LL,不显著
高质量发展指数,2016,广东,-0.17204890976866674,0.343,HL,不显著
高质量发展指数,2016,广西,0.1697180206944581,0.203,LL,不显著
高质量发展指数,2016,海南,0.07191437678113446,0.197,HH,不显著
高质量发展指数,2016,重庆,-0.028853277202122565,0.339,HL,不显著
高质量发展指数,2016,四川,0.32536356627224344,0.005,LL,LL
高质量发展指数,2016,贵州,0.40951495354663375,0.127,LL,不显著
高质量发展指数,2016,云南,0.7610005397199854,0.019,LL,LL
高质量发展指数,2016,西藏,1.0139886570974013,0.016,LL,LL
高质量发展指数,2016,陕西,-0.08349828090147102,0.124,HL,不显著
高质量发展指数,2016,甘肃,0.44028945584909046,0.064,LL,不显著
高质量发展指数,2016,青海,1.0789981726447166,0.025,LL,LL
高质量发展指数,2016,宁夏,0.24906101372180267,0.247,LL,不显著
高质量发展指数,2016,新疆,0.17237207722473927,0.002,LL,LL
高质量发展指数,2017,北京,0.741495770606581,0.282,HH,不显著
高质量发展指数,2017,天津,1.4586708278579839,0.082,HH,不显著
高质量发展指数,2017,河北,-0.45525156694839175,0.074,LH,不显著
高质量发展指数,2017,山西,0.23281961552872377,0.229,LL,不显著
高质量发展指数,2017,内蒙古,0.2084342796730155,0.024,LL,LL
高质量发展指数,2017,辽宁,-0.1033539750629659,0.145,HL,不显著
高质量发展指数,2017,吉林,0.25223473458646695,0.21,LL,不显著
高质量发展指数,2017,黑龙江,0.5391936928164068,0.228,LL,不显著
高质量发展指数,2017,上海,2.137909219805908,0.044,HH,HH
高质量发展指数,2017,江苏,1.413941373940324,0.046,HH,HH
高质量发展指数,2017,浙江,0.7202594093924323,0.07,HH,不显著
高质量发展指数,2017,安徽,-0.01747969356583939,0.075,LH,不显著
高质量发展指数,2017,福建,0.17310491099972683,0.174,HH,不显著
高质量发展指数,2017,江西,-0.10551238470539545,0.175,LH,不显著
