省份,相邻省份,邻接数量
北京,天津、河北,2
天津,北京、河北,2
河北,北京、天津、辽宁、内蒙古、山西、河南、山东,7
山西,河北、内蒙古、陕西、河南,4
内蒙古,河北、山西、黑龙江、吉林、辽宁、陕西、宁夏、甘肃,8
辽宁,河北、内蒙古、吉林,3
吉林,内蒙古、辽宁、黑龙江,3
黑龙江,内蒙古、吉林,2
上海,江苏、浙江,2
江苏,上海、山东、安徽、浙江,4
浙江,上海、江苏、安徽、江西、福建,5
安徽,江苏、浙江、江西、湖北、河南、山东,6
福建,浙江、江西、广东,3
江西,浙江、安徽、福建、广东、湖南、湖北,6
山东,河北、江苏、安徽、河南,4
河南,河北、山西、安徽、山东、陕西、湖北,6
湖北,安徽、江西、河南、湖南、重庆、陕西,6
湖南,江西、湖北、广东、广西、贵州、重庆,6
广东,福建、江西、湖南、广西、海南,5
广西,湖南、广东、贵州、云南,4
海南,广东,1
重庆,湖北、湖南、四川、陕西、贵州,5
四川,重庆、陕西、甘肃、青海、西藏、云南、贵州,7
贵州,湖南、广西、重庆、四川、云南,5
云南,广西、四川、贵州、西藏,4
西藏,四川、云南、新疆、青海,4
陕西,山西、内蒙古、河南、湖北、重庆、四川、甘肃、宁夏,8
甘肃,内蒙古、四川、陕西、新疆、宁夏、青海,6
青海,四川、西藏、甘肃、新疆,4
宁夏,内蒙古、陕西、甘肃,3
新疆,西藏、甘肃、青海,3
