空间条件,起始状态,终止状态,转移次数,转移概率
无条件,低,低,31,0.96875
无条件,低,中低,1,0.03125
无条件,低,中高,0,0.0
无条件,低,高,0,0.0
无条件,中低,低,1,0.03125
无条件,中低,中低,27,0.84375
无条件,中低,中高,4,0.125
无条件,中低,高,0,0.0
无条件,中高,低,0,0.0
无条件,中高,中低,3,0.10714285714285714
无条件,中高,中高,21,0.75
无条件,中高,高,4,0.14285714285714285
无条件,高,低,0,0.0
无条件,高,中低,1,0.03125
无条件,高,中高,3,0.09375
无条件,高,高,28,0.875
低邻域,低,低,22,1.0
低邻域,低,中低,0,0.0
低邻域,低,中高,0,0.0
低邻域,低,高,0,0.0
低邻域,中低,低,1,0.07692307692307693
低邻域,中低,中低,11,0.8461538461538461
低邻域,中低,中高,1,0.07692307692307693
低邻域,中低,高,0,0.0
低邻域,中高,低,0,0.0
低邻域,中高,中低,0,0.0
低邻域,中高,中高,8,1.0
低邻域,中高,高,0,0.0
低邻域,高,低,0,0.0
低邻域,高,中低,0,0.0
低邻域,高,中高,0,0.0
低邻域,高,高,1,1.0
中邻域,低,低,5,0.8333333333333334
中邻域,低,中低,1,0.16666666666666666
中邻域,低,中高,0,0.0
中邻域,低,高,0,0.0
中邻域,中低,低,0,0.0
中邻域,中低,中低,12,0.9230769230769231
中邻域,中低,中高,1,0.07692307692307693
中邻域,中低,高,0,0.0
中邻域,中高,低,0,0.0
中邻域,中高,中低,0,0.0
中邻域,中高,中高,9,0.8181818181818182
中邻域,中高,高,2,0.18181818181818182
中邻域,高,低,0,0.0
中邻域,高,中低,1,0.1
中邻域,高,中高,1,0.1
中邻域,高,高,8,0.8
高邻域,低,低,4,1.0
高邻域,低,中低,0,0.0
高邻域,低,中高,0,0.0
高邻域,低,高,0,0.0
高邻域,中低,低,0,0.0
高邻域,中低,中低,4,0.6666666666666666
高邻域,中低,中高,2,0.3333333333333333
高邻域,中低,高,0,0.0
高邻域,中高,低,0,0.0
高邻域,中高,中低,3,0.3333333333333333
高邻域,中高,中高,4,0.4444444444444444
高邻域,中高,高,2,0.2222222222222222
高邻域,高,低,0,0.0
高邻域,高,中低,0,0.0
高邻域,高,中高,2,0.09523809523809523
高邻域,高,高,19,0.9047619047619048
