省份,起始年份,终止年份,起始状态,终止状态,空间环境
上海,2016,2017,4,4,3
上海,2017,2018,4,4,3
上海,2018,2019,4,4,3
上海,2019,2020,4,4,3
云南,2016,2017,1,1,1
云南,2017,2018,1,1,1
云南,2018,2019,1,1,1
云南,2019,2020,1,1,1
内蒙古,2016,2017,2,2,1
内蒙古,2017,2018,2,2,1
内蒙古,2018,2019,2,2,1
内蒙古,2019,2020,2,2,1
北京,2016,2017,4,4,3
北京,2017,2018,4,4,3
北京,2018,2019,4,4,3
北京,2019,2020,4,4,1
吉林,2016,2017,2,2,1
吉林,2017,2018,2,2,1
吉林,2018,2019,2,2,2
吉林,2019,2020,2,2,1
四川,2016,2017,2,2,1
四川,2017,2018,2,2,1
四川,2018,2019,2,2,1
四川,2019,2020,2,3,1
天津,2016,2017,4,4,3
天津,2017,2018,4,4,3
天津,2018,2019,4,3,3
天津,2019,2020,3,4,3
宁夏,2016,2017,1,1,2
宁夏,2017,2018,1,1,1
宁夏,2018,2019,1,1,1
宁夏,2019,2020,1,1,2
安徽,2016,2017,3,3,3
安徽,2017,2018,3,3,3
安徽,2018,2019,3,2,3
安徽,2019,2020,2,3,3
山东,2016,2017,4,4,2
山东,2017,2018,4,4,2
山东,2018,2019,4,4,2
山东,2019,2020,4,4,2
山西,2016,2017,2,2,2
山西,2017,2018,2,2,2
山西,2018,2019,2,2,1
山西,2019,2020,2,1,1
广东,2016,2017,4,4,2
广东,2017,2018,4,4,2
广东,2018,2019,4,4,2
广东,2019,2020,4,4,3
广西,2016,2017,2,2,2
广西,2017,2018,2,2,2
广西,2018,2019,2,2,2
广西,2019,2020,2,2,2
新疆,2016,2017,3,3,1
新疆,2017,2018,3,3,1
新疆,2018,2019,3,3,1
新疆,2019,2020,3,3,1
江苏,2016,2017,4,4,3
江苏,2017,2018,4,4,3
江苏,2018,2019,4,4,3
江苏,2019,2020,4,4,3
江西,2016,2017,2,2,3
江西,2017,2018,2,2,3
江西,2018,2019,2,2,3
江西,2019,2020,2,2,3
河北,2016,2017,1,1,3
河北,2017,2018,1,1,3
河北,2018,2019,1,1,3
河北,2019,2020,1,1,3
河南,2016,2017,2,2,2
河南,2017,2018,2,2,2
河南,2018,2019,2,2,2
河南,2019,2020,2,2,2
浙江,2016,2017,4,4,3
浙江,2017,2018,4,4,3
浙江,2018,2019,4,4,3
浙江,2019,2020,4,4,3
海南,2016,2017,3,3,3
海南,2017,2018,3,2,3
海南,2018,2019,2,3,3
海南,2019,2020,3,2,3
湖北,2016,2017,4,4,2
湖北,2017,2018,4,3,2
湖北,2018,2019,3,3,2
湖北,2019,2020,3,3,2
湖南,2016,2017,2,2,2
湖南,2017,2018,2,3,2
湖南,2018,2019,3,3,2
湖南,2019,2020,3,4,2
甘肃,2016,2017,1,1,1
甘肃,2017,2018,1,1,1
甘肃,2018,2019,1,1,1
甘肃,2019,2020,1,1,2
福建,2016,2017,3,3,3
福建,2017,2018,3,4,3
福建,2018,2019,4,4,3
福建,2019,2020,4,3,3
西藏,2016,2017,1,1,1
西藏,2017,2018,1,1,1
西藏,2018,2019,1,1,1
西藏,2019,2020,1,1,1
贵州,2016,2017,1,1,1
贵州,2017,2018,1,1,2
贵州,2018,2019,1,1,2
贵州,2019,2020,1,2,2
辽宁,2016,2017,3,3,1
辽宁,2017,2018,3,3,1
辽宁,2018,2019,3,3,1
辽宁,2019,2020,3,3,1
重庆,2016,2017,3,3,2
重庆,2017,2018,3,3,2
重庆,2018,2019,3,4,2
重庆,2019,2020,4,2,2
陕西,2016,2017,3,3,2
陕西,2017,2018,3,3,2
陕西,2018,2019,3,3,2
陕西,2019,2020,3,3,2
青海,2016,2017,1,1,1
青海,2017,2018,1,1,1
青海,2018,2019,1,1,1
青海,2019,2020,1,1,1
黑龙江,2016,2017,1,1,1
黑龙江,2017,2018,1,1,1
黑龙江,2018,2019,1,1,1
黑龙江,2019,2020,1,1,1
