year,group,variable,n,scott_factor,bandwidth
2016,National,y_clean,31,0.5031849709985139,0.074729362712085
2016,National,cum_tfp,31,0.5031849709985139,
2016,Central,y_clean,8,0.6597539553864471,0.044687512835585814
2016,Central,cum_tfp,8,0.6597539553864471,
2016,Eastern,y_clean,11,0.6190439206838455,0.09349610157218
2016,Eastern,cum_tfp,11,0.6190439206838455,
2016,Western,y_clean,12,0.6083643418932058,0.04987604957974899
2016,Western,cum_tfp,12,0.6083643418932058,
2017,National,y_clean,31,0.5031849709985139,0.07139575214314665
2017,National,cum_tfp,31,0.5031849709985139,0.038306585544130974
2017,Central,y_clean,8,0.6597539553864471,0.047687405228388054
2017,Central,cum_tfp,8,0.6597539553864471,0.07350301847579048
2017,Eastern,y_clean,11,0.6190439206838455,0.0890039070202147
2017,Eastern,cum_tfp,11,0.6190439206838455,0.0277679850449343
2017,Western,y_clean,12,0.6083643418932058,0.04876395238077371
2017,Western,cum_tfp,12,0.6083643418932058,0.036026198153974086
2018,National,y_clean,31,0.5031849709985139,0.06819993701380166
2018,National,cum_tfp,31,0.5031849709985139,0.07457366852232296
2018,Central,y_clean,8,0.6597539553864471,0.040696315931039805
2018,Central,cum_tfp,8,0.6597539553864471,0.06472725684097633
2018,Eastern,y_clean,11,0.6190439206838455,0.08718012954825348
2018,Eastern,cum_tfp,11,0.6190439206838455,0.04957632941535929
2018,Western,y_clean,12,0.6083643418932058,0.051434266970564566
2018,Western,cum_tfp,12,0.6083643418932058,0.11009675516977889
2019,National,y_clean,31,0.5031849709985139,0.06588068406788126
2019,National,cum_tfp,31,0.5031849709985139,0.10041212998896377
2019,Central,y_clean,8,0.6597539553864471,0.04248807522895387
2019,Central,cum_tfp,8,0.6597539553864471,0.061501855494093434
2019,Eastern,y_clean,11,0.6190439206838455,0.09540583074770544
2019,Eastern,cum_tfp,11,0.6190439206838455,0.05483868161564464
2019,Western,y_clean,12,0.6083643418932058,0.04851870218813647
2019,Western,cum_tfp,12,0.6083643418932058,0.16087748510784888
2020,National,y_clean,31,0.5031849709985139,0.06212592473291608
2020,National,cum_tfp,31,0.5031849709985139,0.12309434990869782
2020,Central,y_clean,8,0.6597539553864471,0.044302518116231066
2020,Central,cum_tfp,8,0.6597539553864471,0.05703387017350925
2020,Eastern,y_clean,11,0.6190439206838455,0.08467642404765757
2020,Eastern,cum_tfp,11,0.6190439206838455,0.080127326747508
2020,Western,y_clean,12,0.6083643418932058,0.04029309880802894
2020,Western,cum_tfp,12,0.6083643418932058,0.19212947009897624
