Variable,Year,Higher_mean_region,Lower_mean_region,Higher_region_mean,Lower_region_mean,Gini_between_pair,Positive_difference_mean_d,Reverse_difference_mean_p,Relative_impact_D,Pair_total_contribution,Pair_net_between_contribution,Pair_transvariation_contribution
Y,2016,Eastern,Central,0.5017023953849934,0.3160229294154744,0.24620883104105393,0.19350533115065416,0.007825865181135141,0.9222587922416325,0.05050373739056167,0.046577515849507985,0.003926221541053686
Y,2016,Eastern,Western,0.5017023953849934,0.27245804858564465,0.30651952120850773,0.23326981771189725,0.004025470912548465,0.9660720536350863,0.08928794314337173,0.08625858659736994,0.00302935654600178
Y,2016,Central,Western,0.3160229294154744,0.27245804858564465,0.14749290209437074,0.06518082405127416,0.021615943221444434,0.5019182418735401,0.02375223902735362,0.011921682053169413,0.011830556974184208
Y,2017,Eastern,Central,0.523067817962469,0.3435197929752616,0.22647257832875617,0.18790317779201623,0.00835515280480864,0.9148555602261521,0.045621341900062715,0.041736938302250705,0.0038844035978120132
Y,2017,Eastern,Western,0.523067817962469,0.30916111212085057,0.26821898943797384,0.21856315422480638,0.00465644838318782,0.9582792162625142,0.0778329595875523,0.07458570751295157,0.00324725207460074
Y,2017,Central,Western,0.3435197929752616,0.30916111212085057,0.13535537056477917,0.061351273312125344,0.026992592457714387,0.3889198254457741,0.022402934815386313,0.0087129454978731,0.013689989317513213
Y,2018,Eastern,Central,0.5321596096248805,0.37235621890290826,0.1948326073389248,0.16801628398668458,0.008212893264712296,0.9067930362859683,0.03902086234245788,0.03538384624201418,0.0036370161004436975
Y,2018,Eastern,Western,0.5321596096248805,0.33231708181065095,0.24397802898929802,0.20537792354893003,0.005535395734700519,0.9475102307099281,0.07005099603526786,0.06637403541483691,0.0036769606204309496
Y,2018,Central,Western,0.37235621890290826,0.33231708181065095,0.12368432980815008,0.06359809101235542,0.023558953920098175,0.45939071389223257,0.021052811750502855,0.00967146621950229,0.011381345531000566
Y,2019,Eastern,Central,0.5411108277765874,0.4015432462804257,0.17132490337270473,0.15053384982393295,0.010966268327771263,0.8641949188238964,0.033601762811296,0.02903847268504777,0.004563290126248232
Y,2019,Eastern,Western,0.5411108277765874,0.37326019471457644,0.20087474829916574,0.17576234102848712,0.007911707966476248,0.9138505628882477,0.057322916226491875,0.05238457925997547,0.004938336966516406
Y,2019,Central,Western,0.4015432462804257,0.37326019471457644,0.10472319437563953,0.05471147146004158,0.026428419894192385,0.34857147444742487,0.018416716391894655,0.006419541987202779,0.011997174404691877
Y,2020,Eastern,Central,0.5647004383999346,0.43245531401255455,0.15793137033557803,0.14486364940194443,0.01261852501456434,0.8397466245139482,0.03122681217829155,0.02622261012105138,0.005004202057240171
Y,2020,Eastern,Western,0.5647004383999346,0.38706274003577074,0.19962155891228292,0.18381507387940432,0.00617737551524046,0.9349724103781719,0.05650981028032653,0.0528351135278101,0.0036746967525164357
Y,2020,Central,Western,0.43245531401255455,0.38706274003577074,0.09863598958537954,0.06311327411046246,0.017720700133678668,0.5615531637685605,0.017485527597813987,0.009819053342714922,0.0076664742550990655
Cumulative_TFP,2016,Eastern,Central,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative_TFP,2016,Eastern,Western,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative_TFP,2016,Central,Western,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative_TFP,2017,Eastern,Central,0.9853315748383455,0.9673597214036864,0.04376163120899014,0.05171240490290396,0.033740551468244756,0.2103128340768208,0.007816231525536952,0.001643853803936269,0.0061723777216006834
Cumulative_TFP,2017,Western,Eastern,1.0381163926529662,0.9853315748383455,0.03635882196158328,0.06317750110658231,0.010392683291961836,0.7174756764054679,0.010094002929598191,0.007242201579552237,0.002851801350045954
Cumulative_TFP,2017,Western,Central,1.0381163926529662,0.9673597214036864,0.05207737701123892,0.0875983034640212,0.0168416322147415,0.6774867371319886,0.010421385934355008,0.007060350753059375,0.0033610351812956335
Cumulative_TFP,2018,Eastern,Central,1.084144234094489,1.0134530852162364,0.051615319684455076,0.08947965254186575,0.018788503663613326,0.6529265054083833,0.00894347666517825,0.005839432965196256,0.0031040436999819937
Cumulative_TFP,2018,Western,Eastern,1.1943090866850923,1.084144234094489,0.07163843945597755,0.13669484643227106,0.02652999384166797,0.6749270050178284,0.02022474938148358,0.01365022952728089,0.0065745198542026895
Cumulative_TFP,2018,Western,Central,1.1943090866850923,1.0134530852162364,0.0919989050108573,0.19198385190408493,0.011127850435229387,0.890426299350892,0.01830328930712393,0.016297730163691113,0.002005559143432817
