model,variable,coef,se,t,p,ci_low,ci_high,n,clusters,inference_df,rank,r2,adjusted_r2,controls,province_fe,year_fe,cr1_correction
1,ln_cum_tfp,-0.01940710538901584,0.13350051095973467,-0.14537101955264617,0.8853902797905792,-0.2920515218242235,0.2532373110461918,155,31,30,2,9.625259023882116e-05,-0.006439066020282436,False,False,False,1.0400871459694991
2,ln_cum_tfp,0.29262983710713336,0.10745050044758153,2.7233920352924685,0.010665430439819525,0.07318663962725377,0.5120730345870129,155,31,30,4,0.5914150441110342,0.5832974622059554,True,False,False,1.0538631346578369
2,ln_pop_density,0.14006224269321652,0.02963716034576027,4.725899548377382,5.046617807866791e-05,0.07953508643608705,0.200589398950346,155,31,30,4,0.5914150441110342,0.5832974622059554,True,False,False,1.0538631346578369
2,primary_share,-0.016664782876139865,0.006930627792460568,-2.4045127476429373,0.022572853262355103,-0.030819013121557933,-0.002510552630721797,155,31,30,4,0.5914150441110342,0.5832974622059554,True,False,False,1.0538631346578369
3,ln_cum_tfp,-0.27936179031229685,0.16296707031705837,-1.7142223258280849,0.0968034454006665,-0.6121849493049322,0.05346136868033846,155,31,30,8,0.6620977767743974,0.6460071947160353,True,False,True,1.0825396825396827
3,ln_pop_density,0.12816905577672127,0.027256691303883782,4.702296927670695,5.393288383497558e-05,0.07250346587689396,0.18383464567654859,155,31,30,8,0.6620977767743974,0.6460071947160353,True,False,True,1.0825396825396827
3,primary_share,-0.015841765201072673,0.006224462496993387,-2.545081636964597,0.016306036137041322,-0.028553813513962294,-0.0031297168881830543,155,31,30,8,0.6620977767743974,0.6460071947160353,True,False,True,1.0825396825396827
4,ln_cum_tfp,0.7162369401367372,0.11760695073422986,6.09009021716158,1.084173693376509e-06,0.47605150398264295,0.9564223762908315,155,31,30,34,0.9482867652841195,0.9341831558161521,True,True,False,1.3151515151515154
4,ln_pop_density,-0.6437998808125087,1.2738540156698177,-0.5053953380003171,0.6169743622328744,-3.2453568503637027,1.9577570887386853,155,31,30,34,0.9482867652841195,0.9341831558161521,True,True,False,1.3151515151515154
4,primary_share,-0.04028406133855935,0.01756821186790509,-2.29300862497869,0.02903088932696025,-0.07616313654284643,-0.0044049861342722665,155,31,30,34,0.9482867652841195,0.9341831558161521,True,True,False,1.3151515151515154
5,ln_cum_tfp,0.4460320940634531,0.19396828586556944,2.299510417762714,0.02861265821770571,0.049896006444235974,0.8421681816826703,155,31,30,38,0.9570107385654119,0.9434158439237045,True,True,True,1.3601139601139602
5,ln_pop_density,-0.10389669201930829,1.3415716619119007,-0.077444012100884,0.9387845457039177,-2.8437515452962594,2.635958161257643,155,31,30,38,0.9570107385654119,0.9434158439237045,True,True,True,1.3601139601139602
5,primary_share,-0.0028778086624113228,0.02598114591494568,-0.11076527077875578,0.9125402053146007,-0.055938387347648305,0.05018277002282566,155,31,30,38,0.9570107385654119,0.9434158439237045,True,True,True,1.3601139601139602
