Tag,SourceType,Guid,Author,Title,City,Year,Publisher,RefOrder,source_part,cited_in_docx,matching_original_english_key,in_original_english_bibliography,in_current_english_title_match,PeriodicalTitle,Volume,Issue,StandardNumber
蔡文心26,JournalArticle,{CEFC252A-94E5-4F92-A9B2-498317220651},"蔡文心 杜旭虹,张洪胜,武鑫,张宛玲",科技金融、经营主体活力与经济高质量发展,北京,2026,经济与管理科学,7,customXml/item1.xml,True,,False,False,,,,
陈诗一18,ArticleInAPeriodical,{7F147B26-71E4-4BAE-AB97-E9F52F7C50A9},陈诗一，陈登科,雾霾污染、政府治理与经济高质量发展,,2018,,3,customXml/item1.xml,True,,False,False,经济与管理科学,,,
赵涛张20,ArticleInAPeriodical,{782CE7FE-C236-44CF-9C01-AA69E353B14A},"赵涛 张智,梁上坤",数字经济、创业活跃度与高质量发展——来自中国城市的经验证据,,2020,,6,customXml/item1.xml,True,,False,False,经济与管理科学,36,10,
赵丽芳26,ArticleInAPeriodical,{D0788B97-FBD4-4E92-BABB-A328680F7B5B},"赵丽芳 代文涛,孙洪杰",政策跟踪审计与城市经济高质量发展——基于空间面板杜宾模型的实证研究,,2026,,8,customXml/item1.xml,True,,False,False,审计与经济研究,,,
《经济23,Report,{B9BD4B31-DAAF-4DF7-ADD7-E985679BDCF5},《经济日报》,深刻把握经济高质量发展的内涵要义,,2023,,1,customXml/item1.xml,True,,False,False,,,,
蒲晓晔，Fidrmuc，奥Jarko18,ArticleInAPeriodical,{B138D551-6E12-4763-BC51-9015AB925103},蒲晓晔 Fidrmuc [奥] Jarko,中国经济高质量发展的动力结构优化机理研究,,2018,,2,customXml/item1.xml,True,,False,False,西北大学学报(哲学社会科学版),,,
陈博、8年,JournalArticle,{31D02164-B9BA-4FB8-AF09-A6B227A13C83},陈博、任保平,中国省际经济高质量发展的测度与分析,,2018年,,4,customXml/item1.xml,True,,False,False,,,,
陈景华20,ArticleInAPeriodical,{AC17A7B6-B377-4FA2-BB31-211145FCDFB4},陈景华 陈妩 陈敏敏,中国经济高质量发展水平、区域差异及分布动态演进,,2020,,5,customXml/item1.xml,True,,False,False,数量经济技术经济研究,,,
曹先磊26,JournalArticle,{4F32F361-0C01-4404-8E1C-A5F82F379120},曹先磊 左恒源,绿色技术创新对农业绿色全要素生产率影响的异质性与机制研究,长沙,2026,科学出版社,10,customXml/item1.xml,True,,False,False,,,,https://doi.org/10.13872/j.1000-0275.2025.0488.
1车维,JournalArticle,{1A16F247-CF2F-464B-AE89-CF6BC9FCDD9F},车维汉 杨荣,技术效率、技术进步与中国农业全要素生产率的提高——基于国际比较的实证分析,上海,2010,上海财经大学出版社,9,customXml/item1.xml,True,,False,False,,36,3,DOI:10.16538/j.cnki.jfe.2010.03.005
高齐圣20,JournalArticle,{CA29D6DF-C308-4632-81FF-EA237C68275E},高齐圣 王丹亚,我国农业全要素生产率分解及其区域发展不平衡分析,长沙,2020,中南林业科技大学,12,customXml/item1.xml,True,,False,False,,14,6,DOI:10.14067/j.cnki.1673-9272.2020.06.009
刘溪梁26,JournalArticle,{5A8DF627-CDF0-4E86-A2B3-FC6589BA4CC2},刘溪 梁雪涵,中国农业全要素生产率时空格局、动态演进与影响因素研究,哈尔滨,2026,黑龙江省生产力学会,11,customXml/item1.xml,True,,False,False,,,5,DOI:10.19374/j.cnki.14-1145/f.2026.05.013
刘庆和99,JournalArticle,{94DA09DB-A9D4-4D31-90A7-A2A79775C0AD},刘庆和,贵州农业全要素生产率:初步测度与简要分析,贵阳,1999,贵州社会科学编辑部,13,customXml/item1.xml,True,,False,False,,,03,DOI:10.13713/j.cnki.cssci.1999.03.005
She02,JournalArticle,{32571568-8A18-482D-998F-AEAA0F183687},Shenggen Fan Xiaobo Zhang,Production and Productivity Growth in Chinese Agriculture: New National and Regional Measures,,2002,Economic Development and Cultural Change,14,customXml/item1.xml,True,fan2002,True,True,,,,DOI:10.1086/343136
余康郭,JournalArticle,{8011C853-BA1C-41EE-A819-4A79981BE7CD},余康 郭萍 章立,我国农业劳动生产率地区差异动态演进的决定因素——基于随机前沿模型的分解研究,2011,,经济科学杂志社,15,customXml/item1.xml,True,,False,False,,,02,DOI:10.19523/j.jjkx.2011.02.004
高帆15,JournalArticle,{CF8BF36C-125D-4AB7-BFAE-9C67526491B5},高帆,我国区域农业全要素生产率的演变趋势与影响因素——基于省际面板数据的实证分析,,2015,数量经济技术经济研究杂志社,16,customXml/item1.xml,True,,False,False,,32,05,DOI:10.13653/j.cnki.jqte.2015.05.001
FÄR94,ArticleInAPeriodical,{08376409-7C88-4F2E-9DD4-490810193B6F},"FÄRE R GROSSKOPF S, NORRIS M, ZHANG Z","Productivity Growth, Technical Progress, and Efficiency Change in Industrialized Countries",,1994,,17,customXml/item1.xml,True,fare1994,True,True,The American Economic Review,84,1,
王淑佳21,ArticleInAPeriodical,{E6F6F70C-9AAD-460F-92C8-76A955362918},王淑佳 孔伟 任亮 治丹丹 戴彬婷,国内耦合协调度模型的误区及修正,,2021,,18,customXml/item1.xml,True,,False,False,自然资源学报,36,03,
