variable,中文名,定义,单位
province,省份,省级行政区,-
province_id,省份数值编码,Stata面板编码,-
year,年份,2016—2020,年
y_clean,修正后高质量发展综合指数,含逐年城镇化率，两层混合权重,0—1
ln_y_clean,Y取自然对数,ln(y_clean),-
cum_tfp,累计农业TFP,原五投入DEA—Malmquist，2016=1,指数
ln_cum_tfp,累计TFP取自然对数,ln(cum_tfp),-
urban_rate,城镇化率,已进入Y，主回归不重复控制,0—1
pop_density,人口密度,常住人口/行政区域面积,人/平方公里
ln_pop_density,人口密度取自然对数,ln(pop_density),-
primary_share,第一产业增加值占GDP比重,控制变量,%
machinery,农业机械总动力,DEA投入1,万千瓦
fertilizer,农用化肥施用量,DEA投入2，折纯,万吨
plastic_film,农用塑料薄膜使用量,DEA投入3,万吨
diesel,农用柴油使用量,DEA投入4，按原方案保留,万吨
pesticide,农药使用量,DEA投入5,万吨
output_nominal,农林牧渔业总产值,DEA产出，当年价,亿元
