变量/指标,原始文件,工作表,单位,来源与备注
Y二级指标,Y原始指标_data_for_res.xlsx,RAW_DATA,见指标字典,随包项目未标明各Y指标的年鉴、表名和页码，需作者补充
城镇化率/IPR替代,控制变量.xlsx,控制变量,城镇化率，0—1比例,项目文档称其为城镇常住人口/总常住人口；随包项目未写明具体年鉴表页
人口密度,控制变量.xlsx,控制变量,人/平方公里,项目文档称常住人口/行政区域面积；随包项目未写明具体年鉴表页
第一产业增加值占GDP比重,控制变量.xlsx,控制变量,%,随包项目未写明具体年鉴表页
农业机械总动力,各省农业机械总动力_2007-2024.xlsx,长格式,万千瓦,《中国统计年鉴》/《中国农村统计年鉴》‘各地区主要农业机械年末拥有量’表，CNKI导出
农用化肥施用量,各省农用化肥施用量_2007-2024.xlsx,长格式,万吨（折纯）,《中国农村统计年鉴》‘各地区农用化肥施用量（按折纯法计算）’表，CNKI导出
农用塑料薄膜使用量,各省农用塑料薄膜使用量_2007-2024.xlsx,长格式,万吨,《中国农村统计年鉴》‘各地区农用塑料薄膜使用量’表，CNKI导出
农用柴油使用量,各省农用柴油使用量_2007-2024.xlsx,长格式,万吨,《中国农村统计年鉴》‘各地区农用柴油和农药使用量’表，CNKI PDF经版面识别
农药使用量,各省农药使用量_2007-2024.xlsx,长格式,万吨,《中国农村统计年鉴》‘各地区农用柴油和农药使用量’表，CNKI PDF经版面识别
农林牧渔业总产值,各省农林牧渔业总产值_2007-2024.xlsx,长格式,亿元，当年价,《中国农村统计年鉴》‘各地区农林牧渔业总产值（、增加值和中间消耗）’表，CNKI PDF经版面识别
